ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,llm_action,llm_conviction,llm_reason
FFIN,"First Financial Bankshares, Inc.",2023-05-16,2023-05-01,2023-05-15,728856,2,3439.7,$500M-$5B,True,False,25.44379234313965,1.91,-1.21,12.89,2023-05-23,2023-05-26,2023-06-15,False,,SKIP,2,"Within 15% of 52-week low triggers the empirical underperformance prior (-2.71%/-3.70% at 7d/10d), and the 2-insider/$729K cluster in the favorable $500M-$5B cap band isn't strong enough to override t"
TCBI,"Texas Capital Bancshares, Inc.",2023-05-08,2023-04-21,2023-05-04,4347420,2,2314.5,$500M-$5B,True,False,46.720001220703125,-2.91,9.46,14.85,2023-05-15,2023-05-18,2023-06-07,False,,SKIP,2,"Near-52w-low prior flags this as a falling-knife setup at 7-10d horizon, and only 2 insiders / $4.3M on a $2.3B regional bank during the 2023 banking stress is not material enough to override that emp"
VIRT,"Virtu Financial, Inc.",2023-09-13,2023-09-13,2023-09-13,1110631,2,2533.7,$500M-$5B,True,False,16.51438331604004,-2.9,-2.68,0.39,2023-09-20,2023-09-25,2023-10-13,False,,SKIP,2,"Only 2 insiders with modest $1.1M total at a $2.5B cap is thin relative to float, and the near-52-week-low flag is an empirical negative per the 2023 backtest, outweighing the favorable cap bucket."
LQDA,Liquidia Corporation,2023-12-18,2023-12-14,2023-12-14,3000004,2,512.0,$500M-$5B,False,False,7.889999866485596,47.28,52.98,70.22,2023-12-26,2023-12-28,2024-01-17,False,,ACT,3,2-insider cluster at $512M cap with $3M purchased and not near 52-week low aligns with the empirically favored profile from the 2023 backtest priors.
AAP,"Advance Auto Parts, Inc.",2023-06-13,2023-06-07,2023-06-12,1002864,3,3846.2,$500M-$5B,True,False,66.15455627441406,-3.16,-6.45,1.01,2023-06-20,2023-06-23,2023-07-13,False,,SKIP,2,"Both adverse priors fire simultaneously — within 15% of 52-week low (knife-catching risk at 7-10d) and 3+ insider cluster (underperforms 2-insider clusters at 30d), so despite adequate market cap and "
WSBC,"WesBanco, Inc.",2023-05-09,2023-05-08,2023-05-09,686315,2,1162.9,$500M-$5B,True,False,19.15117073059082,-2.08,5.56,27.78,2023-05-16,2023-05-19,2023-06-08,False,,SKIP,2,"Near-52-week-low prior is a documented underperformer at 7d/10d, and with only 2 insiders and $686K total the cluster lacks the size to override that headwind despite the $1.16B cap being in the favor"
BXMT,"Blackstone Mortgage Trust, Inc.",2023-03-15,2023-03-13,2023-03-15,1121037,2,2159.7,$500M-$5B,True,False,12.563811302185059,-0.44,-1.05,-0.91,2023-03-22,2023-03-27,2023-04-14,False,,SKIP,2,"Near-52-week-low BXMT cluster fits the empirical falling-knife pattern (negative 7-10d expectancy), and a large-cap mortgage REIT in March 2023 carries acute regional-bank/CRE contagion risk that over"
SFNC,Simmons First National Corporation,2023-05-15,2023-05-01,2023-05-12,732950,4,1742.9,$500M-$5B,True,False,13.381072998046875,9.97,9.64,19.44,2023-05-22,2023-05-25,2023-06-14,False,,SKIP,2,"Despite material $733K cluster from 4 insiders at a $1.7B cap (in-range), two empirical headwinds stack against this setup: near-52w-low and 3+ insider count both underperformed in the 2023 backtest, "
ERII,"Energy Recovery, Inc.",2023-11-13,2023-11-07,2023-11-09,303475,2,1015.6,$500M-$5B,False,False,19.34000015258789,1.65,0.83,-3.83,2023-11-20,2023-11-24,2023-12-13,False,,ACT,3,"2-insider cluster in the favored $500M-$5B cap band and not near 52-week low aligns with the empirical sweet spot, though modest dollar size relative to a $1B cap keeps conviction moderate."
APPS,"Digital Turbine, Inc.",2023-09-18,2023-09-14,2023-09-15,400200,2,669.4,$500M-$5B,True,False,6.710000038146973,-7.6,-9.39,-18.48,2023-09-25,2023-09-28,2023-10-18,False,,SKIP,2,"Cluster sits within 15% of the 52-week low, which the 2023 backtest shows underperforms at 7d/10d horizons, outweighing the favorable $500M-$5B cap and 2-insider cluster size."
