ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,llm_action,llm_conviction,llm_reason
FFIN,"First Financial Bankshares, Inc.",2023-05-16,2023-05-01,2023-05-15,728856,2,3439.7,$500M-$5B,True,False,25.44379234313965,1.91,-1.21,12.89,2023-05-23,2023-05-26,2023-06-15,False,,SKIP,2,"Two-insider cluster at a $3.4B regional bank is too small and too well-covered to be a genuinely neglected asymmetric signal, and the 52w-low proximity bonus has been removed per the 2023 backtest."
TCBI,"Texas Capital Bancshares, Inc.",2023-05-08,2023-04-21,2023-05-04,4347420,2,2314.5,$500M-$5B,True,False,46.720001220703125,-2.91,9.46,14.85,2023-05-15,2023-05-18,2023-06-07,False,,SKIP,3,"Material $4.3M cluster near 52w low is credible, but only 2 insiders (below the typical 3+ confirmation bar) and a $2.3B regional bank in May 2023 sits squarely in the post-SVB regional banking crisis"
VIRT,"Virtu Financial, Inc.",2023-09-13,2023-09-13,2023-09-13,1110631,2,2533.7,$500M-$5B,True,False,16.51438331604004,-2.9,-2.68,0.39,2023-09-20,2023-09-25,2023-10-13,False,,SKIP,2,"Virtu is a well-covered $2.5B market-maker with high institutional ownership and ample analyst coverage, so a 2-insider $1.1M single-day cluster fails the neglect screen and is unlikely to represent u"
LQDA,Liquidia Corporation,2023-12-18,2023-12-14,2023-12-14,3000004,2,512.0,$500M-$5B,False,False,7.889999866485596,47.28,52.98,70.22,2023-12-26,2023-12-28,2024-01-17,False,,SKIP,3,"Two-insider cluster with $3M total is materially sized but sits at the minimum CLAUDE.md threshold (2 insiders) and the name is not near 52-week lows, so the asymmetry case is weaker than a stronger 3"
AAP,"Advance Auto Parts, Inc.",2023-06-13,2023-06-07,2023-06-12,1002864,3,3846.2,$500M-$5B,True,False,66.15455627441406,-3.16,-6.45,1.01,2023-06-20,2023-06-23,2023-07-13,False,,DISQUALIFY,1,"AAP is a widely-covered S&P 500 retailer with 15+ analysts and heavy news flow around its 2023 dividend cut and operational crisis, failing the neglect screen's combined coverage/news test — insider b"
WSBC,"WesBanco, Inc.",2023-05-09,2023-05-08,2023-05-09,686315,2,1162.9,$500M-$5B,True,False,19.15117073059082,-2.08,5.56,27.78,2023-05-16,2023-05-19,2023-06-08,False,,SKIP,2,"Only 2 insiders meets the minimum cluster threshold and the 52-week-low proximity bonus has been removed per backtest, leaving a marginal signal in a regional bank without sufficient evidence of negle"
BXMT,"Blackstone Mortgage Trust, Inc.",2023-03-15,2023-03-13,2023-03-15,1121037,2,2159.7,$500M-$5B,True,False,12.563811302185059,-0.44,-1.05,-0.91,2023-03-22,2023-03-27,2023-04-14,False,,SKIP,2,"Blackstone Mortgage Trust is a well-covered $2.1B BX-affiliated mREIT, not a neglected name, and a 2-insider $1.1M cluster during the March 2023 regional banking crisis reads more as sector-wide stres"
SFNC,Simmons First National Corporation,2023-05-15,2023-05-01,2023-05-12,732950,4,1742.9,$500M-$5B,True,False,13.381072998046875,9.97,9.64,19.44,2023-05-22,2023-05-25,2023-06-14,False,,SKIP,3,"Strong 4-insider cluster with material dollar size, but regional bank in $1.7B cap during May 2023 post-SVB regional banking stress means insiders are likely catching a falling knife in a sector-wide "
ERII,"Energy Recovery, Inc.",2023-11-13,2023-11-07,2023-11-09,303475,2,1015.6,$500M-$5B,False,False,19.34000015258789,1.65,0.83,-3.83,2023-11-20,2023-11-24,2023-12-13,False,,SKIP,2,"Only 2 insiders meet the minimum cluster threshold and total purchases of ~$303K at a $1B market cap is immaterial relative to float, suggesting a weak signal rather than a credible undervaluation con"
APPS,"Digital Turbine, Inc.",2023-09-18,2023-09-14,2023-09-15,400200,2,669.4,$500M-$5B,True,False,6.710000038146973,-7.6,-9.39,-18.48,2023-09-25,2023-09-28,2023-10-18,False,,SKIP,3,"Two-insider cluster with $400K total is materially-sized and within 15% of 52-week low, but APPS at $669M with heavy ad-tech analyst coverage and constant news flow fails the neglect screen, and per t"
